dataset,seed,split,bit_index,branch,activation_rate,binary_entropy_bits,continuous_mean,continuous_sd
mnist,42,train,0,0,0.9999,0.0014730335283280294,0.13319890201091766,0.03451605513691902
mnist,42,train,1,0,0.5665,0.9872021966280995,0.016214776784181595,0.05369118973612785
mnist,42,train,2,0,1.0,0.0,0.23135356605052948,0.05043201148509979
mnist,42,train,3,0,0.0122,0.09504817034395499,-0.13148292899131775,0.046207740902900696
mnist,42,train,4,1,0.1507,0.6115892862600285,-0.05829614773392677,0.05172935500741005
mnist,42,train,5,1,0.9986,0.015290858996337876,0.1376456618309021,0.048208821564912796
mnist,42,train,6,1,0.4969,0.9999722712236636,-0.00442423764616251,0.04561709985136986
mnist,42,train,7,1,0.9954,0.0423362019642824,0.13519836962223053,0.052431024610996246
mnist,42,train,8,2,0.2108,0.743009130405292,-0.029559753835201263,0.03836607560515404
mnist,42,train,9,2,0.0,0.0,-0.20970073342323303,0.041270770132541656
mnist,42,train,10,2,1.0,0.0,0.2554998993873596,0.05207193270325661
mnist,42,train,11,2,0.8096,0.7023074793431036,0.04664823040366173,0.05545424297451973
mnist,42,train,12,3,1.0,0.0,0.20572805404663086,0.030377117916941643
mnist,42,train,13,3,1.0,0.0,0.23387841880321503,0.034569982439279556
mnist,42,train,14,3,0.9981,0.019914106107932032,0.1040380597114563,0.03772909194231033
mnist,42,train,15,3,0.5773,0.9826896121970391,0.008915668353438377,0.046098921447992325
mnist,42,test,0,0,1.0,0.0,0.13692578673362732,0.034725628793239594
mnist,42,test,1,0,0.5135,0.9994740737466832,0.007832134142518044,0.04932542145252228
mnist,42,test,2,0,1.0,0.0,0.2328605353832245,0.04730219021439552
mnist,42,test,3,0,0.0095,0.0774599334613366,-0.13544823229312897,0.04371201619505882
mnist,42,test,4,1,0.2095,0.7405259206127808,-0.04351874068379402,0.04870134964585304
mnist,42,test,5,1,0.9995,0.0062040592958311465,0.14695928990840912,0.04364269971847534
mnist,42,test,6,1,0.5175,0.9991161687869751,-0.002535151084885001,0.04543718323111534
mnist,42,test,7,1,0.9985,0.016233651393198188,0.13939853012561798,0.049261707812547684
mnist,42,test,8,2,0.2035,0.7288731060739966,-0.029325896874070168,0.036924123764038086
mnist,42,test,9,2,0.0,0.0,-0.2103130966424942,0.03868012875318527
mnist,42,test,10,2,1.0,0.0,0.24607302248477936,0.04632524028420448
mnist,42,test,11,2,0.8185,0.6833475138167637,0.05165010690689087,0.05778062343597412
mnist,42,test,12,3,1.0,0.0,0.20156466960906982,0.029851792380213737
mnist,42,test,13,3,1.0,0.0,0.24245639145374298,0.03350207582116127
mnist,42,test,14,3,0.997,0.029464051844922262,0.09916523844003677,0.03613364323973656
mnist,42,test,15,3,0.696,0.8861256474645223,0.022243186831474304,0.04486338421702385
mnist,123,train,0,0,0.5911,0.9759192593921169,0.011348491534590721,0.045548535883426666
mnist,123,train,1,0,0.5424,0.9948065262345054,0.00698088388890028,0.04643853381276131
mnist,123,train,2,0,0.5664,0.987240771651401,0.009039455093443394,0.041285306215286255
mnist,123,train,3,0,0.8015,0.7189179318403397,0.03698403015732765,0.04347263276576996
mnist,123,train,4,1,0.7941,0.7335722959567021,0.02842770330607891,0.03721302002668381
mnist,123,train,5,1,0.0,0.0,-0.17600901424884796,0.045297782868146896
mnist,123,train,6,1,0.8764,0.5396211781574378,0.048723023384809494,0.04230384901165962
mnist,123,train,7,1,0.0,0.0,-0.18548981845378876,0.040634702891111374
mnist,123,train,8,2,0.0716,0.37186636835871123,-0.07411421090364456,0.04837343096733093
mnist,123,train,9,2,0.898,0.4753035717834445,0.062454186379909515,0.047007493674755096
mnist,123,train,10,2,1.0,0.0,0.20560647547245026,0.0671461895108223
mnist,123,train,11,2,0.7327,0.8375635697951688,0.025551699101924896,0.042018577456474304
mnist,123,train,12,3,1.0,0.0,0.17545752227306366,0.036385271698236465
mnist,123,train,13,3,0.214,0.7490593447969769,-0.04709513112902641,0.05899880826473236
mnist,123,train,14,3,0.9945,0.04919790151042319,0.09090835601091385,0.04174065962433815
mnist,123,train,15,3,0.0005,0.006204059295831671,-0.13539375364780426,0.05058770999312401
mnist,123,test,0,0,0.508,0.9998153271549207,0.0022222064435482025,0.046047039330005646
mnist,123,test,1,0,0.6405,0.9422673688853349,0.019946124404668808,0.04389334097504616
mnist,123,test,2,0,0.5315,0.9971350747849759,0.003496118588373065,0.03851976990699768
mnist,123,test,3,0,0.833,0.6507958209094192,0.03944343701004982,0.04218580946326256
mnist,123,test,4,1,0.8475,0.616061355788333,0.033306967467069626,0.03502412140369415
mnist,123,test,5,1,0.0,0.0,-0.17691171169281006,0.044987984001636505
mnist,123,test,6,1,0.9175,0.41092741294400464,0.05317164584994316,0.039401356130838394
mnist,123,test,7,1,0.0,0.0,-0.17454232275485992,0.03732201084494591
mnist,123,test,8,2,0.069,0.36218071725715634,-0.07219135016202927,0.04693439602851868
mnist,123,test,9,2,0.8755,0.5421591150560313,0.058328818529844284,0.04641309753060341
mnist,123,test,10,2,1.0,0.0,0.2028389871120453,0.06615207344293594
