dataset,seed,split,branch,unique_patterns,available_patterns,pattern_utilization
mnist,42,train,0,5,16,0.3125
mnist,42,train,1,9,16,0.5625
mnist,42,train,2,4,16,0.25
mnist,42,train,3,4,16,0.25
mnist,42,test,0,3,16,0.1875
mnist,42,test,1,8,16,0.5
mnist,42,test,2,4,16,0.25
mnist,42,test,3,4,16,0.25
mnist,123,train,0,16,16,1.0
mnist,123,train,1,4,16,0.25
mnist,123,train,2,8,16,0.5
mnist,123,train,3,5,16,0.3125
mnist,123,test,0,16,16,1.0
mnist,123,test,1,4,16,0.25
mnist,123,test,2,8,16,0.5
mnist,123,test,3,4,16,0.25
mnist,456,train,0,3,16,0.1875
mnist,456,train,1,8,16,0.5
mnist,456,train,2,5,16,0.3125
mnist,456,train,3,8,16,0.5
mnist,456,test,0,2,16,0.125
mnist,456,test,1,6,16,0.375
mnist,456,test,2,4,16,0.25
mnist,456,test,3,8,16,0.5
fashion,42,train,0,6,16,0.375
fashion,42,train,1,9,16,0.5625
fashion,42,train,2,5,16,0.3125
fashion,42,train,3,7,16,0.4375
fashion,42,test,0,5,16,0.3125
fashion,42,test,1,8,16,0.5
fashion,42,test,2,4,16,0.25
fashion,42,test,3,4,16,0.25
fashion,123,train,0,16,16,1.0
fashion,123,train,1,4,16,0.25
fashion,123,train,2,8,16,0.5
fashion,123,train,3,5,16,0.3125
fashion,123,test,0,15,16,0.9375
fashion,123,test,1,4,16,0.25
fashion,123,test,2,7,16,0.4375
fashion,123,test,3,5,16,0.3125
fashion,456,train,0,5,16,0.3125
fashion,456,train,1,8,16,0.5
fashion,456,train,2,8,16,0.5
fashion,456,train,3,7,16,0.4375
fashion,456,test,0,3,16,0.1875
fashion,456,test,1,8,16,0.5
fashion,456,test,2,8,16,0.5
fashion,456,test,3,5,16,0.3125
