dataset,seed,split,samples,mean_bit_activation,mean_bit_entropy,min_bit_entropy,mean_continuous_std,unique_patterns,pattern_space_utilization,sample_collision_rate,ambiguous_pattern_fraction,ambiguous_sample_fraction,pattern_majority_ceiling,label_entropy_bits,conditional_label_entropy_bits,empirical_mutual_information_bits,same_class_hamming_mean,same_class_hamming_sd,different_class_hamming_mean,different_class_hamming_sd
mnist,42,train,10000,0.676,0.32505202168737884,0.0,0.044923193752765656,122,0.001861572265625,0.9878,0.5819672131147541,0.9853,0.3595,3.318657269304205,2.5741031613405827,0.7445541079636224,2.02725,1.2305214937811255,2.4597,1.2380842267905814
mnist,42,test,2000,0.6851875000000001,0.32292650790606314,0.0,0.04288557171821594,71,0.0010833740234375,0.9645,0.676056338028169,0.981,0.3635,3.315590804955914,2.5193399968979624,0.7962508080579518,2.0404,1.2326977801516719,2.45355,1.2437522838118427
mnist,123,train,10000,0.5677,0.46495454867331615,0.0,0.045903272926807404,557,0.0084991455078125,0.9443,0.59245960502693,0.9615,0.4421,3.318657269304205,2.1617397077118885,1.1569175615923166,2.91795,1.5120952744803997,3.4168,1.504756117963548
mnist,123,test,2000,0.5754375,0.4585245809719931,0.0,0.044185083359479904,310,0.004730224609375,0.845,0.4935483870967742,0.898,0.4845,3.315590804955914,1.86737235998425,1.4482184449716642,2.8483,1.4959608968653717,3.3983,1.4965189903420615
mnist,456,train,10000,0.525425,0.27625193136918746,0.0,0.036557167768478394,130,0.001983642578125,0.987,0.7153846153846154,0.9945,0.2816,3.318657269304205,2.7743426524598034,0.5443146168444017,1.69865,1.1997125251522343,1.92865,1.2431156198528823
mnist,456,test,2000,0.52021875,0.25382845706196266,0.0,0.03551086038351059,76,0.00115966796875,0.962,0.6710526315789473,0.9815,0.2725,3.315590804955914,2.7369102043331757,0.5786806006227385,1.55655,1.1769755142177145,1.70515,1.1957779776148194
fashion,42,train,10000,0.63883125,0.29605540170126565,0.0,0.05131693184375763,150,0.002288818359375,0.985,0.6266666666666667,0.9904,0.3535,3.3214527954084145,2.4812451132650803,0.8402076821433342,1.67765,1.2044139687625712,2.04805,1.2328897754300334
fashion,42,test,2000,0.6371875,0.2913686015457897,0.0,0.05098968744277954,91,0.0013885498046875,0.9545,0.5384615384615384,0.9635,0.3665,3.320359310193266,2.409087820654583,0.9112714895386831,1.6531,1.1952538732800992,2.03015,1.220948612053621
fashion,123,train,10000,0.5829437500000001,0.4454845824447949,0.0,0.047309018671512604,360,0.0054931640625,0.964,0.5694444444444444,0.965,0.4806,3.3214527954084145,1.9711882121685933,1.3502645832398212,2.4423,1.4820865491012836,3.28665,1.524532055221985
fashion,123,test,2000,0.58596875,0.4360794958286869,0.0,0.04694673791527748,197,0.0030059814453125,0.9015,0.5126903553299492,0.9145,0.5135,3.320359310193266,1.792470178011251,1.527889132182015,2.4005,1.4731287300887084,3.18485,1.524662817587996
fashion,456,train,10000,0.5574874999999999,0.3163617913681879,0.0,0.03898435831069946,193,0.0029449462890625,0.9807,0.6010362694300518,0.9877,0.372,3.3214527954084145,2.365269226011448,0.9561835693969667,1.7517,1.1506577730435463,2.15585,1.2311525349558503
fashion,456,test,2000,0.56075,0.3084863886554,0.0,0.03881654143333435,108,0.00164794921875,0.946,0.6203703703703703,0.977,0.376,3.320359310193266,2.283157553817012,1.0372017563762541,1.7153,1.1238367588102032,2.0942,1.2012903541299855
