encoding,noise_probability,sample_count,n_checkpoint_seeds,accuracy_mean,accuracy_sd_across_checkpoint_seeds,delta_accuracy_mean,delta_accuracy_sd_across_checkpoint_seeds
amplitude,0.001,500,3,0.8933333333333334,0.006429100507328643,0.0,0.0
amplitude,0.005,500,3,0.8926666666666666,0.005773502691896263,-0.0006666666666666673,0.0011547005383792525
amplitude,0.01,500,3,0.8946666666666667,0.008082903768654767,0.0013333333333333346,0.004163331998932269
angle,0.001,500,3,0.9046666666666666,0.0041633319989322695,0.0,0.0
angle,0.005,500,3,0.904,0.0040000000000000036,-0.0006666666666666673,0.0011547005383792525
angle,0.01,500,3,0.9033333333333333,0.0050332229568471705,-0.0013333333333333346,0.0011547005383792527
iqp-all,0.001,500,3,0.8946666666666667,0.012701705922171777,0.0,0.0
iqp-all,0.005,500,3,0.892,0.010392304845413272,-0.002666666666666669,0.0023094010767585054
iqp-all,0.01,500,3,0.8953333333333333,0.009865765724632504,0.0006666666666666673,0.003055050463303896
basis-ste,0.001,500,3,0.616,0.08662563131083083,-0.0006666666666666673,0.003055050463303896
basis-ste,0.005,500,3,0.618,0.08662563131083083,0.0013333333333333346,0.003055050463303896
basis-ste,0.01,500,3,0.6253333333333334,0.09000740710260088,0.008666666666666675,0.013316656236958796
iqp-nn,0.001,500,3,0.8953333333333333,0.010066445913694341,-0.0006666666666666673,0.0011547005383792525
iqp-nn,0.005,500,3,0.8933333333333334,0.013012814197295434,-0.002666666666666669,0.00461880215351701
iqp-nn,0.01,500,3,0.892,0.015099668870541512,-0.0040000000000000036,0.0069282032302755165
basis,0.001,500,3,0.3426666666666667,0.05300314456080257,-0.0040000000000000036,0.0069282032302755165
basis,0.005,500,3,0.3393333333333333,0.04883987441971298,-0.00733333333333334,0.0070237691685684995
basis,0.01,500,3,0.33666666666666667,0.0521664004253057,-0.010000000000000009,0.010583005244258372
