encoding,shots,n_checkpoint_seeds,measurement_repeats_per_seed,accuracy_mean,accuracy_sd_across_checkpoint_seeds,mean_within_checkpoint_measurement_sd,delta_accuracy_mean,delta_accuracy_sd_across_checkpoint_seeds
amplitude,100,3,3,0.8925555555555557,0.003309638001912586,0.0013516936770290166,-0.0029444444444443794,0.0008388704928078276
amplitude,1000,3,3,0.8953888888888889,0.003119532253636981,0.001024835368486205,-0.00011111111111109888,0.0008552669065744947
angle,100,3,3,0.8891111111111111,0.0036565517048677077,0.001527483898251048,-0.003388888888888849,0.0010183501544347008
angle,1000,3,3,0.8917222222222222,0.002219442706159809,0.0009523444553266018,-0.0007777777777777292,0.0007698003589194804
iqp-all,100,3,3,0.8798333333333334,0.004044887033170535,0.0031799285095489935,-0.0043333333333332264,0.002242270674512269
iqp-all,1000,3,3,0.8836111111111111,0.003083708685861804,0.0019147139401412604,-0.0005555555555554573,0.002657971936423448
basis-ste,100,3,3,0.5953333333333334,0.07573656829945354,0.0020400757676630435,-0.0028333333333333544,0.0030867098629087267
basis-ste,1000,3,3,0.5988333333333333,0.0778761481099601,0.0011106583818670157,0.0006666666666667043,0.0019649710204252663
iqp-nn,100,3,3,0.8812777777777777,0.004553183664369546,0.00284973465381879,-0.00405555555555559,0.003203007845644386
iqp-nn,1000,3,3,0.8845555555555555,0.0019883922409080755,0.0014213357304193907,-0.0007777777777777661,0.0010046189622235594
basis,100,3,3,0.34366666666666673,0.0472396373116193,0.0,0.0,0.0
basis,1000,3,3,0.34366666666666673,0.0472396373116193,0.0,0.0,0.0
