dataset,model,seed,selection_policy,validation_accuracy,final_test_accuracy,final_test_precision,final_test_recall,final_test_f1,final_test_samples,final_test_evaluations,checkpoint
fashion,amplitude,42,validation_accuracy,0.891,0.878875,0.8797047163595849,0.878875,0.8789181762970925,8000,1,fashion-MNIST\amplitude\best_Amplitude_model.pth
fashion,amplitude,123,validation_accuracy,0.8975,0.8815,0.8812062242703645,0.8815,0.88090136013913,8000,1,fashion-MNIST\amplitude\best_Amplitude_fmnist_model_seed_123.pth
fashion,amplitude,456,validation_accuracy,0.898,0.883375,0.8830761677920089,0.883375,0.8829476205112105,8000,1,fashion-MNIST\amplitude\best_Amplitude_fmnist_model_seed_456.pth
fashion,angle,42,validation_accuracy,0.8935,0.884625,0.8846483885798277,0.884625,0.8843041297934231,8000,1,fashion-MNIST\angle\best_Angle.pth
fashion,angle,123,validation_accuracy,0.8895,0.88025,0.8803695749710797,0.88025,0.8797366306702086,8000,1,fashion-MNIST\angle\best_Angle_fmnist_model_seed_123.pth
fashion,angle,456,validation_accuracy,0.8945,0.88025,0.8821216211186789,0.88025,0.8806047046240684,8000,1,fashion-MNIST\angle\best_Angle_fmnist_model_seed_456.pth
fashion,iqp-all,42,best_validation_accuracy,0.8835,0.8685,0.8690569439956983,0.8685,0.865005910814566,8000,1,paper_analysis\results\iqp_all\fashion\seed_42\best_validation_model.pth
fashion,iqp-all,123,best_validation_accuracy,0.8795,0.867875,0.8678520572988755,0.867875,0.8673894464843206,8000,1,paper_analysis\results\iqp_all\fashion\seed_123\best_validation_model.pth
fashion,iqp-all,456,best_validation_accuracy,0.8895,0.8725,0.8745207405508748,0.8725,0.872921725935563,8000,1,paper_analysis\results\iqp_all\fashion\seed_456\best_validation_model.pth
fashion,basis-ste,42,best_validation_accuracy,0.6145,0.61575,0.6651413459775205,0.61575,0.6029144139963123,8000,1,paper_analysis\results\basis_ste\fashion\seed_42\best_validation_model.pth
fashion,basis-ste,123,best_validation_accuracy,0.5145,0.515,0.4988000763907339,0.515,0.4935279976113411,8000,1,paper_analysis\results\basis_ste\fashion\seed_123\best_validation_model.pth
fashion,basis-ste,456,best_validation_accuracy,0.6655,0.665125,0.668361996916115,0.665125,0.6525957528533055,8000,1,paper_analysis\results\basis_ste\fashion\seed_456\best_validation_model.pth
fashion,iqp-nn,42,best_validation_accuracy,0.885,0.869375,0.8697574274526062,0.869375,0.8693572777232814,8000,1,paper_analysis\results\iqp_nn_control\fashion\seed_42\best_validation_model.pth
fashion,iqp-nn,123,best_validation_accuracy,0.8835,0.876875,0.877992504057546,0.876875,0.8768918216662103,8000,1,paper_analysis\results\iqp_nn_control\fashion\seed_123\best_validation_model.pth
fashion,iqp-nn,456,best_validation_accuracy,0.8875,0.871125,0.8711734431752634,0.871125,0.8701990546232543,8000,1,paper_analysis\results\iqp_nn_control\fashion\seed_456\best_validation_model.pth
