dataset,model,role,n_seeds,selection_policy,validation_accuracy_mean,final_test_accuracy_mean,final_test_accuracy_sd,final_test_f1_mean,final_test_f1_sd,validation_minus_test_pp
mnist,amplitude,main_quantum_encoding,3,validation_accuracy,0.9750000000000001,0.982625,0.000976281209488338,0.9826102152289263,0.0009831871221228547,-0.7624999999999882
mnist,angle,main_quantum_encoding,3,validation_accuracy,0.9634999999999999,0.97625,0.0024109126902482265,0.9762447597458678,0.002413327677274383,-1.275000000000004
mnist,iqp-all,main_quantum_encoding,3,best_validation_accuracy,0.9654999999999999,0.9754999999999999,0.0027499999999999747,0.9754977691016212,0.0027758673840082224,-1.0000000000000009
mnist,basis-ste,main_quantum_encoding,3,best_validation_accuracy,0.4881666666666667,0.5014583333333333,0.09250045044935366,0.4637962147632937,0.11924977529749325,-1.3291666666666646
mnist,iqp-nn,topology_ablation,3,best_validation_accuracy,0.9668333333333333,0.9756666666666667,0.0004018187817080474,0.9756501071658645,0.0004099573199744045,-0.883333333333336
mnist,basis-hard,implementation_ablation,3,validation_accuracy,0.26533333333333337,0.297125,0.025169115498960243,0.25411551020830897,0.030214231591987238,-3.179166666666661
mnist,classiccnn,classical_control,3,validation_accuracy,0.9743333333333334,0.9802916666666667,0.0012140668570277942,0.9802715579327601,0.0012206381344691635,-0.5958333333333288
mnist,mlp-16,classical_control,3,validation_accuracy,0.9705,0.9795416666666666,0.0007637626158259498,0.9795499742566491,0.0007668564983995678,-0.9041666666666615
mnist,mlp-64,classical_control,3,validation_accuracy,0.977,0.9812083333333333,0.001697117654534712,0.9811935067271964,0.0017102650320725418,-0.42083333333333695
fashion,amplitude,main_quantum_encoding,3,validation_accuracy,0.8955000000000001,0.88125,0.002260392665003168,0.8809223856491443,0.002014804388203919,1.4250000000000096
fashion,angle,main_quantum_encoding,3,validation_accuracy,0.8925,0.8817083333333334,0.002525907427704623,0.8815484883625667,0.0024256046398644093,1.0791666666666533
fashion,iqp-all,main_quantum_encoding,3,best_validation_accuracy,0.8841666666666667,0.8696250000000001,0.0025093574874856276,0.8684390277448166,0.0040609417472108065,1.4541666666666564
fashion,basis-ste,main_quantum_encoding,3,best_validation_accuracy,0.5981666666666666,0.598625,0.07651358131077121,0.5830127214869864,0.08137994662680234,-0.04583333333333384
fashion,iqp-nn,topology_ablation,3,best_validation_accuracy,0.8853333333333332,0.8724583333333333,0.003923752455664485,0.8721493846709153,0.004128580697780842,1.2874999999999859
fashion,basis-hard,implementation_ablation,3,validation_accuracy,0.34366666666666673,0.34904166666666664,0.04457460973842993,0.31451717025975356,0.04226344500050339,-0.5374999999999908
fashion,classiccnn,classical_control,3,validation_accuracy,0.8991666666666666,0.8807499999999999,0.004233423555469052,0.8798412823980507,0.005781050390161516,1.8416666666666637
fashion,mlp-16,classical_control,3,validation_accuracy,0.8936666666666667,0.879125,0.003935019059674289,0.8789014191353012,0.003414942048035561,1.4541666666666675
fashion,mlp-64,classical_control,3,validation_accuracy,0.8936666666666667,0.8816250000000001,0.001984313483298455,0.8807105123856465,0.0014647355843006146,1.2041666666666617
