"dataset","model","n_seeds","reported_accuracy_mean","reported_accuracy_sd","f1_mean","f1_sd","best_observed_test_accuracy_mean","best_observed_test_accuracy_sd","final_train_accuracy_mean","final_train_accuracy_sd","test_accuracy_curve_mean","test_accuracy_curve_sd","epoch_to_95pct_of_best_mean","epoch_to_95pct_of_best_sd","final_generalization_gap_mean","final_generalization_gap_sd"
"Fashion-MNIST","Amplitude","3","0.892","0.003","0.8925","0.00295127091267475","0.895833333333333","0.00419324854180303","1","0","0.885773333333333","0.00413019773537949","2","0","0.108","0.003"
"Fashion-MNIST","Angle","3","0.879166666666667","0.00436844747402708","0.880433333333333","0.00475429630264386","0.8925","0.00264575131106459","0.979166666666667","0.00181475434517546","0.855093333333333","0.0118765707733054","6","1","0.1","0.0061"
"Fashion-MNIST","Basis","3","0.341333333333333","0.0484828148247741","0.310133333333333","0.0437726322413141","0.343666666666667","0.0472396373116193","0.3492","0.0438465506054923","0.327253333333333","0.0439367742709149","6.66666666666667","4.04145188432738","0.00919999999999999","0.00323573793747272"
"Fashion-MNIST","ClassicCNN","3","0.899166666666667","0.00505799696849786","0.899233333333333","0.00536780526224017","0.899166666666667","0.00505799696849786","0.954533333333333","0.0031785741037977","0.879633333333333","0.00461979797538073","3","0","0.0647","0.00615386057690617"
"Fashion-MNIST","IQP","3","0.882166666666667","0.00889288104796939","0.8825","0.00883572294721833","0.883833333333333","0.00604841577054134","0.993133333333333","0.00032145502536646","0.861253333333333","0.00335561221438548","3.33333333333333","0.577350269189626","0.121466666666667","0.00427823951332007"
"MNIST","Amplitude","3","0.973333333333333","0.00160727512683215","0.973333333333333","0.00160727512683215","0.975","0.0025","0.999966666666667","5.77350269189562E-05","0.969833333333333","0.00178208679175091","1","0","0.0266333333333333","0.00164418166068512"
"MNIST","Angle","3","0.961833333333333","0.00678847061813875","0.961833333333333","0.00678847061813875","0.9635","0.00614410286372229","0.991033333333333","0.00113724814061545","0.915666666666667","0.00485549516870663","3.66666666666667","0.577350269189626","0.0292","0.00595063021872475"
"MNIST","Basis","3","0.260333333333333","0.0399697802512515","0.219666666666667","0.0265520871747088","0.265333333333333","0.0386469058701125","0.289733333333333","0.0379152124263248","0.247383333333333","0.0378374924292471","3.66666666666667","2.08166599946613","0.0294","0.010912378292563"
"MNIST","ClassicCNN","3","0.974333333333333","0.00301385688667086","0.974266666666667","0.00306648550189518","0.974333333333333","0.00301385688667086","0.992733333333333","0.000950438495292223","0.96005","0.00157876534038477","1.66666666666667","0.577350269189626","0.0209","0.00147309198626563"
"MNIST","IQP","3","0.965833333333333","0.00797391580927045","0.9658","0.00799812478022191","0.968","0.00614410286372223","0.9959","0.00190000000000002","0.93685","0.00754039123653412","2.33333333333333","0.577350269189626","0.0300666666666666","0.00612318000170932"
