"dataset","model","seed","reported_accuracy","precision","recall","f1","best_observed_test_accuracy","best_epoch","final_epoch_test_accuracy","final_epoch_train_accuracy","final_epoch_loss","test_accuracy_curve_mean","epoch_to_95pct_of_best","final_generalization_gap","reported_minus_final","reported_minus_best","metric_file","log_file","checkpoint_file"
"Fashion-MNIST","Amplitude","42","0.889","0.8908","0.889","0.8896","0.891","11","0.889","1","0.004","0.88106","2","0.111","0","-0.002","fashion-MNIST\amplitude\amplitude_metrics.txt","fashion-MNIST\amplitude\amplitude_training_log.txt","fashion-MNIST\amplitude\best_Amplitude_model.pth"
"Fashion-MNIST","Amplitude","123","0.895","0.8967","0.895","0.8955","0.8985","23","0.895","1","0.0033","0.8875","2","0.105","0","-0.00349999999999995","fashion-MNIST\amplitude\amplitude_fmnist_metrics_seed_123.txt","fashion-MNIST\amplitude\amplitude_fmnist_training_log_seed_123.txt","fashion-MNIST\amplitude\best_Amplitude_fmnist_model_seed_123.pth"
"Fashion-MNIST","Amplitude","456","0.892","0.8931","0.892","0.8924","0.898","10","0.892","1","0.0034","0.88876","2","0.108","0","-0.00600000000000001","fashion-MNIST\amplitude\amplitude_fmnist_metrics_seed_456.txt","fashion-MNIST\amplitude\amplitude_fmnist_training_log_seed_456.txt","fashion-MNIST\amplitude\best_Amplitude_fmnist_model_seed_456.pth"
"Fashion-MNIST","Angle","42","0.8755","0.8788","0.8755","0.8758","0.8935","19","0.8755","0.9811","0.0742","0.85942","6","0.1056","0","-0.018","fashion-MNIST\angle\angle_metrics.txt","fashion-MNIST\angle\angle_log.txt","fashion-MNIST\angle\best_Angle.pth"
"Fashion-MNIST","Angle","123","0.878","0.8855","0.878","0.8802","0.8895","18","0.878","0.9789","0.0809","0.84166","7","0.1009","0","-0.0115","fashion-MNIST\angle\angle_fmnist_metrics_seed_123.txt","fashion-MNIST\angle\angle_fmnist_training_log_seed_123.txt","fashion-MNIST\angle\best_Angle_fmnist_model_seed_123.pth"
"Fashion-MNIST","Angle","456","0.884","0.8902","0.884","0.8853","0.8945","16","0.884","0.9775","0.08","0.8642","5","0.0935","0","-0.0105","fashion-MNIST\angle\angle_fmnist_metrics_seed_456.txt","fashion-MNIST\angle\angle_fmnist_training_log_seed_456.txt","fashion-MNIST\angle\best_Angle_fmnist_model_seed_456.pth"
"Fashion-MNIST","Basis","42","0.322","0.3584","0.322","0.2957","0.329","15","0.322","0.3298","1.8278","0.31166","3","0.00779999999999997","0","-0.00700000000000001","fashion-MNIST\basis\basis_metrics.txt","fashion-MNIST\basis\basis_log.txt","fashion-MNIST\basis\best_Basis.pth"
"Fashion-MNIST","Basis","123","0.3965","0.3792","0.3965","0.3593","0.3965","20","0.3925","0.3994","1.7222","0.37686","11","0.00689999999999996","0.004","0","fashion-MNIST\basis\basis_fmnist_metrics_seed_123.txt","fashion-MNIST\basis\basis_fmnist_training_log_seed_123.txt","fashion-MNIST\basis\best_Basis_fmnist_model_seed_123.pth"
"Fashion-MNIST","Basis","456","0.3055","0.2948","0.3055","0.2754","0.3055","25","0.3055","0.3184","1.82","0.29324","6","0.0129","0","0","fashion-MNIST\basis\basis_fmnist_metrics_seed_456.txt","fashion-MNIST\basis\basis_fmnist_training_log_seed_456.txt","fashion-MNIST\basis\best_Basis_fmnist_model_seed_456.pth"
"Fashion-MNIST","ClassicCNN","42","0.896","0.896","0.896","0.8951","0.896","21","0.89","0.9509","0.1386","0.87596","3","0.0609","0.00600000000000001","0","CNN\classiccnn_fashion_metrics_seed_42.txt","CNN\classiccnn_fashion_training_log_seed_42.csv","CNN\best_ClassicCNN_fashion_seed_42.pth"
"Fashion-MNIST","ClassicCNN","123","0.8965","0.899","0.8965","0.8973","0.8965","20","0.885","0.9568","0.128","0.87812","3","0.0718","0.0115","0","CNN\classiccnn_fashion_metrics_seed_123.txt","CNN\classiccnn_fashion_training_log_seed_123.csv","CNN\best_ClassicCNN_fashion_seed_123.pth"
"Fashion-MNIST","ClassicCNN","456","0.905","0.9058","0.905","0.9053","0.905","15","0.8945","0.9559","0.124","0.88482","3","0.0614","0.0105000000000001","0","CNN\classiccnn_fashion_metrics_seed_456.txt","CNN\classiccnn_fashion_training_log_seed_456.csv","CNN\best_ClassicCNN_fashion_seed_456.pth"
"Fashion-MNIST","IQP","42","0.872","0.8749","0.872","0.8724","0.877","17","0.872","0.9929","0.0446","0.85738","4","0.1209","0","-0.005","fashion-MNIST\iqp\iqp_metrics.txt","fashion-MNIST\iqp\iqp_log.txt","fashion-MNIST\iqp\best_IQP.pth"
"Fashion-MNIST","IQP","123","0.886","0.888","0.886","0.8863","0.886","10","0.8675","0.9935","0.0439","0.86328","3","0.126","0.0185","0","fashion-MNIST\iqp\iqp_fmnist_metrics_seed_123.txt","fashion-MNIST\iqp\iqp_fmnist_training_log_seed_123.txt","fashion-MNIST\iqp\best_IQP_fmnist_model_seed_123.pth"
"Fashion-MNIST","IQP","456","0.8885","0.8896","0.8885","0.8888","0.8885","7","0.8755","0.993","0.0482","0.8631","3","0.1175","0.013","0","fashion-MNIST\iqp\iqp_fmnist_metrics_seed_456.txt","fashion-MNIST\iqp\iqp_fmnist_training_log_seed_456.txt","fashion-MNIST\iqp\best_IQP_fmnist_model_seed_456.pth"
"MNIST","Amplitude","42","0.9745","0.9746","0.9745","0.9745","0.9775","8","0.9745","0.9999","0.0116","0.9717","1","0.0254","0","-0.003","Amplitude encoding\amplitude_final_metrics.txt","Amplitude encoding\amplitude_training_log.txt","Amplitude encoding\best_Amplitude_model.pth"
"MNIST","Amplitude","123","0.974","0.974","0.974","0.974","0.975","8","0.974","1","0.009","0.96965","1","0.026","0","-0.001","Amplitude encoding\amplitude_final_metrics_seed_123.txt","Amplitude encoding\amplitude_training_log_seed_123.txt","Amplitude encoding\best_Amplitude_model_seed_123.pth"
"MNIST","Amplitude","456","0.9715","0.9716","0.9715","0.9715","0.9725","8","0.9715","1","0.01","0.96815","1","0.0285","0","-0.001","Amplitude encoding\amplitude_final_metrics_seed_456.txt","Amplitude encoding\amplitude_training_log_seed_456.txt","Amplitude encoding\best_Amplitude_model_seed_456.pth"
"MNIST","Angle","42","0.9555","0.9559","0.9555","0.9555","0.959","9","0.9555","0.9907","0.0627","0.9154","3","0.0352","0","-0.00349999999999995","angle encoding\angle_final_metrics.txt","angle encoding\angle_training_log.txt","angle encoding\best_Angle_model.pth"
